skill,description
Research Aproach & Methodology,"Selecting and aligning quantitative, qualitative and mixed methods, methodology and epistemology"
Experiment Planning & Design,"Optimising protocols, layout & sampling for statistical power and valid inference"
Measurement & Data Collection,"Developing suveys, question design & qualitative research tools"
Systems Analysis,"Mapping behaviour within complex social and organisational context to identify interactions, constraints, and leverage points for change"
Intervention & System Design,"Human-centred and behaviourally informed design for wellbeing and change"
Quantitative Analysis,"R, SPSS & Excel for data handling, modelling and statistical inference"
Qualitative Analysis,"NVivo for coding & thematic analysis"
Programming & Reporting Tools,"Quarto, LaTeX and InDesign, Shiny, HTML/CSS, Git/GitHub"
Leadership & Facilitation,"Capacity building, Guiding teams, & fostering alignment"
Stakeholder Engagement,"Fostering safe, respectful relationships & collaborative exchange across diverse sectors and communities"
Project & Program Management,"Planning, coordinating, and evaluating programs and outcomes"
Strategic & Accessible Communication,"Translating complexity & tailoring communication to audiences, contexts and purpose"
